2016-06-15 09:39:30,706 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.games.app:games:0.0.1-SNAPSHOT @ /Users/torben/Documents/VS/games/pom.xml.
2016-06-15 09:39:30,707 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.games.app:games:0.0.1-SNAPSHOT @ /Users/torben/Documents/VS/games/pom.xml.
2016-06-15 09:39:33,960 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-15 09:39:33,970 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-06-15 09:39:33,977 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-15 09:39:33,978 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-06-15 09:39:35,490 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.games.app:games:0.0.1-SNAPSHOT @ /Users/torben/Documents/VS/games/pom.xml.
2016-06-15 09:39:36,206 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-15 09:39:36,214 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-06-15 09:39:36,216 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-15 09:39:36,219 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-06-15 09:39:37,552 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-15 09:39:37,553 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-06-15 09:39:37,556 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-15 09:39:37,557 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
